date,salinity,precip_in
2021-01-25,18.038202247191013,0.0
2021-01-26,20.28735632183908,0.1
2021-01-27,22.074626865671643,0.0
2021-01-28,21.135555555555555,0.0
2021-01-29,17.428125,0.0
2021-01-30,,0.0
2021-01-31,,0.12
2021-02-01,,1.85
2021-02-02,25.604545454545452,0.13
2021-02-03,23.6,0.01
2021-02-04,21.66792452830189,0.0
2021-02-05,21.516867469879518,0.07
2021-02-06,19.204347826086956,0.0
2021-02-07,19.59052631578947,0.39
2021-02-08,18.72051282051282,0.0
2021-02-09,22.42105263157895,0.0
2021-02-10,20.001470588235293,0.01
2021-02-11,23.918823529411764,0.1
2021-02-12,23.892957746478874,0.0
2021-02-13,24.22608695652174,0.0
2021-02-14,25.553571428571427,0.0
2021-02-15,22.30188679245283,0.02
2021-02-16,24.007142857142856,0.82
2021-02-17,17.65684210526316,0.0
2021-02-18,18.314893617021276,0.45
2021-02-19,22.01354166666667,0.14
2021-02-20,15.47578947368421,0.0
2021-02-21,17.839583333333334,0.0
2021-02-22,17.489583333333332,0.52
2021-02-23,20.307291666666668,0.01
2021-02-24,22.2,0.0
2021-02-25,22.353684210526314,0.0
2021-02-26,18.72421052631579,0.0
2021-02-27,23.712631578947367,0.39
2021-02-28,20.523958333333333,0.22
2021-03-01,22.755208333333332,0.16
2021-03-02,17.056250000000002,0.0
2021-03-03,17.368750000000002,0.0
2021-03-04,18.986458333333335,0.0
2021-03-05,16.253125,0.0
2021-03-06,18.846875,0.0
2021-03-07,16.961458333333333,0.0
2021-03-08,19.646315789473686,0.0
2021-03-09,17.520833333333332,0.0
2021-03-10,20.676041666666666,0.0
2021-03-11,18.384375000000002,0.0
2021-03-12,20.76276595744681,0.0
2021-03-13,15.617708333333333,0.0
2021-03-14,17.921875,0.0
2021-03-15,10.572631578947368,0.0
2021-03-16,19.0,0.0
2021-03-17,18.036458333333332,0.0
2021-03-18,12.130434782608695,0.6
2021-03-19,14.29,0.07
2021-03-20,14.91123595505618,0.0
2021-03-21,12.225842696629213,0.0
2021-03-22,13.55056179775281,0.0
2021-03-23,14.283333333333333,0.0
2021-03-24,15.555681818181819,1.27
2021-03-25,16.05421686746988,0.01
2021-03-26,16.936904761904763,0.19
2021-03-27,19.6,0.0
2021-03-28,19.385555555555555,0.76
2021-03-29,16.732499999999998,0.0
2021-03-30,,0.0
2021-03-31,,0.35
2021-04-01,,0.03
